event_id,category,excluded,company,graph_node,gt_stated_hop,live_status,live_tier
40_state_grid_corp_of_china_2021,energy,False,"Eson Precision Industry Co., Ltd.",,False,no_graph_node,
40_state_grid_corp_of_china_2021,energy,False,"Concraft Holding Co., Ltd.",,False,no_graph_node,
40_state_grid_corp_of_china_2021,energy,False,"TTM Technologies, Inc.",,False,no_graph_node,
40_state_grid_corp_of_china_2021,energy,False,Diodes Incorporated,,False,no_graph_node,
54_yunnan_chihong_zinc_germanium_2023,geopolitical_policy,False,"AXT, Inc. (and its Beijing subsidiary Tongmei)",,False,seed_unresolved,
57_united_co_rusal_international_pjsc_2018,geopolitical_policy,False,Rio Tinto,rio tinto,False,found_enriched,3
57_united_co_rusal_international_pjsc_2018,geopolitical_policy,False,Constellium SE,constellium se,False,found_unenriched,4
57_united_co_rusal_international_pjsc_2018,geopolitical_policy,False,Kaiser Aluminum Corporation,,False,no_graph_node,
57_united_co_rusal_international_pjsc_2018,geopolitical_policy,False,Aleris Corporation,,False,no_graph_node,
57_united_co_rusal_international_pjsc_2018,geopolitical_policy,False,Tredegar Corporation,,False,no_graph_node,
59_coronado_global_resources_2020,geopolitical_policy,False,Aurizon Holdings Limited,aurizon,hop1,found_enriched,1
59_coronado_global_resources_2020,geopolitical_policy,False,Whitehaven Coal Limited,,False,no_graph_node,
59_coronado_global_resources_2020,geopolitical_policy,False,Peabody Energy Corporation,peabody energy,False,not_found_within_tier4,
59_coronado_global_resources_2020,geopolitical_policy,False,Genco Shipping & Trading Limited,,False,no_graph_node,
