node,decision,confidence,reason
an pha petroleum group jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
anhui kelihua chemical & industry,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
anhui wanwei updated high-tech material industry,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
anima watners updated high-tech material industry,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
anjwa smart farm & solar city,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
ap moller - maersk a/s,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
aqua-terra oilfield equipment & services pte,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
asahi kasei mitsubishi chemical ethylene,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
asia pacific wire & cable,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
asia world engineering & construction,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
astrakhan power sale co pao,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
ateliers mecaniques d indonesie tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
auxim de mexico s de rl de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
ba ria thermal power jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
baic bluepark new energy technology,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
baker hughes do brasil ltda,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
bakrie and brothers tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
baogang zhan bo international trade,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
baosheng science and technology innovation,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
baosteel group xinjiang bayi iron & steel,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
baowu group echeng iron & steel,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
baowu group zhongnan iron & steel,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
beida xianxing tai'an technology industry,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
beijing shougang alliance of xingang science & trade,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
beijing shougang gitane new materials,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
beijing shougang international engineering technolog,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
beijing shougang lujiashan limestone mine,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
beijing shougang refractory & metallurgical burden,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
benxi beiying iron & steel,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
bestway marine & energy technology,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
bingshan refrigeration & heat transfer technologies,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
binh son refining and petrochemical,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
borcelik celik sanayii ticaret as,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
bosal mexico sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
botas boru hatlari ile petrol tasima as,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
brisa bridgestone sabanci sanayi ve ticaret as,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
brose fahrzeugteile se & co kg,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
bukaka teknik utama tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
bumi resources minerals tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
busan port authority,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
busan shin ho photovoltaic power,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
bx steel posco cold rolled sheet,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
c d waelzholz gmbh & co kg,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
calik enerji sanayi ve ticaret as,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
calumet specialty products partners lp,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
camara de comercializacao de energia eletrica-ccee,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
carlos mainero y cia saicfi,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
cars motorcycles and marine engine trade and import,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
cedisa central de aco s/a,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
central power systems & services,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
centrifugados mexicanos sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
century iron & steel industrial,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
cf roark welding & engineering,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
chandra asri petrochemical tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
changi airport group singapore pte,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
changzhou langbo seal polytron technologies,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
chengdu lingchuan automobile fuel tank coltd,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
chengdu siwi science and technology,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
chevran phillips chemicals asia pte lid,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
china daye non-ferrous metals mining,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
china energy investment corp td,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
china high speed transmission equipment,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
china national heavy duty truck,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
china non-ferrous metals industry sixth metallurgical construction,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
china nonferrous metal industry's changsha survey & design institute,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
china nonferrous metal industry's foreign engineering & construction,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
china nuclear engineering & construction,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
china pingmei shenma group united salination,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
china rare earth resources and technology,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
china shipbuilding industry group power,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
china southern power grid energy efficiency & clean energy,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
china southern power grid energy storage,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
china tungsten and hightech materials,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
china zhenhua group science & technology,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
chongqing chang'an visteon engine control system,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
chongqing dajiang yuqiang plastic products,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
chongqing fuling electric power industrial,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
chongqing jianshe automobile air conditioner,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
chugoku electric power co inc/the,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
chung hwa chemical industrial works,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
chung-hsin electric & machinery manufacturing,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
cia de minas buenaventura saa,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
cia de minas bueraaventura sm,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
cia mexicana de exploraciones sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
cia minera autlan sab de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
cie generale des etablissements michelin sca,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
cnsig inner mongolia chemical industry,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
commercial aircraft corp of china,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
communication cable systems indonesia tbk,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
concesionaria vuela cia de aviacion,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
consultoria en obra sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
controladora vuela cia de aviacion sab de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
corp mackinal del cobre de chile,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
coutinho & ferrostaal gmbh & co kg,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
csp co siderurgica do pecem,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
da nhim-ham thuan-da mi hydro power jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
daeduck electronics co ltd / new,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
dah san electric wire & cable,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
dainichiseika color & chemicals manufacturing,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
dana brata luhur tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
dangfeng electronic technology co lb,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
dayton forging & heat treating co/the,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
del paso pipe & steel,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
delta dunia makmur tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
devlet hava meydanlari isletmesi genel mudurlugu,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
dian swastatika sentosa tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
dinh vu petroleum service port jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
dong anh electrical equipment corp jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
dongguan mentech optical & magnetic,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
dongkuk steel mill co ltd/new,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
dr ing hc f porsche,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
drainage services department,remove,medium,"Hong Kong government department (infrastructure administration), not a commercial company; industry field (Machinery) looks like a mismatched default rather than a real classification"
electricity generating authority of thailand,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
emil loeffelhardt gmbh & co kg,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
empresa electricidad del peru - electroperu,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
empresa siderurgica del peru saa,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
energi mega persada tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
evergreen international storage & transport,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
farba otomotiv aydinlatma ve plastik fabrikalari as,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
ferdinand bilstein gmbh + co kg,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
ferre barniedo sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
ferrocarril mexicano sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
feuer powertrain gmbh & co kg,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
fomento de construcciones y contratas,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
forja de monterrey sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
formosan union chemical,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
fraport ag frankfurt airport services worldwide,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
frisa forjados sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
fuji furukawa engineering & construction,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
fujian nanping aluminium sheet & strip,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
fulin plastic industry cayman holding,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
g collado sab de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
ganfeng lithium group co lfd,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
gansu jiu steel group hongxing iron & steel,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
ganzhou teng yuan cobalt new material,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
garuda indonesia persero tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
gazprom gazoraspredelenie saratovskaya oblast oao,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
general electricity co of libya,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
gestion global de matriceria sl,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
gestore dei servizi energetici- gse,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
getrag getriebe-u zahnradfabrik hermann hagenmeyer gmbh & cie,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
gonvarri corp financiera sociedad ltda,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
gonvarri i centro de servicios sl,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
goodyear tire & rubber co/the,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
grupa azoty zaklady chemiczne police,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
grupo aeroportuario del sureste sab de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
grupo idesa sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
grupo industrial saltillo sab de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
grupo pochteca sab de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
grupo remolques del norte sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
grupo rotoplas sab de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
grupo simec sab de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
guam power authority,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
guangdong dongfang precision science & technology,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
guangdong electric power industry fuel,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
guangdong ji duo bao can making,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
guangdong zhongnan iron & steel,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
guangzhou gangfa petroleum chemical dock,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
guangzhou great power energy & technology,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
guiyang zhenxing aluminium & magnesium technology industry development,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
gujarat narmada valley fertilizers & chemicals,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
gujarat state fertilizers & chemicals,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
gunawan dianjaya steel tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
gunung raja paksi tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
hai phong thermal power jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
handan gangtie group equipment manufacturing installation,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
handan iron & steel group import & export,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
handan steel group hengshui cold rolling steel,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
hangzhou gaoxin rubber & plastic materials,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
hanjin heavy industries & construction,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
haohua chemical science & technology,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
harbin electric corp jiamusi electric machine,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
hd hyundai and shell base oil,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
hd korea shipbuilding & offshore engineering,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
hdc hyundai development co-engineering & construction,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
hebei iron & steel group mining,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
hebei iron & steel group songting iron & steel,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
hella gmbh & co kgaa,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
henan shenhuo coal & power,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
henan shenma chlorine alkali development,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
henan shenma nylon chemical industry,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
henan yuguang gold & lead,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
heyuan city urban development investment,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
hicom-honda manufacturing malaysia sdn bhd,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
hitachi air-conditioning & refrigerating products gua,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
hmt xiamen new technical materials,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
hoberg & driesch gmbh & co kg roehrengrosshandel,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
hold-key electric wire & cable,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
hong kong & china gas,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
howon elementary school adjacent district reconstruction union,remove,high,matches confirmed noise example exactly (already flagged as extraction noise)
hua eng wire & cable,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
hubei wanrun new energy technology,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
huili county ma'anping mine feishi multipurpose utilization,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
hunan baili engineering sci & tech,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
hunan yuneng new energy battery material,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
hyundai mobis mexico s de rl de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
hyundai wia automotive engine shandong,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
incheon port authority,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
indal aluminium industry tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
indocement tunggal prakarsa tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
indoritel makmur internasional tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
industrial gas & welding electrode jsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
industrias ch sab de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
