ground_truth_name,roles,n_events,events,graph_name,graph_match_type,graph_match_score,gt_graph_hop,corpus_name,corpus_match_type,corpus_match_score,gt_has_corpus_doc,needs_human_review,resolution_note
"Nissan Motor Co., Ltd.",affected,2,2_nippon_steel_2011;9_xinxiang_tianli_energy_2021,nissan motor,ground_truth_provided,100.0,3,,not_found,53.8,False,False,
Norsk Hydro ASA,affected,1,35_gazprom_pjsc_2022,norsk hydro asa,ground_truth_provided,100.0,3,,not_found,41.7,False,False,
Nyrstar (Trafigura group),affected,1,35_gazprom_pjsc_2022,nyrstar,ground_truth_provided,100.0,5,,not_found,40.9,False,False,
Occidental Chemical (OxyChem),affected,1,4_dow_2017,occidental petroleum,ground_truth_provided,100.0,3,,not_found,54.5,False,False,
Olin Corporation,affected,1,5_formosa_plastics_2021,olin,ground_truth_provided,100.0,2,,not_found,54.5,False,False,
Omega Protein Corporation,affected,1,24_bp_2010,,not_found,64.3,,,not_found,52.9,False,False,
Pactiv Evergreen Inc.,affected,1,5_formosa_plastics_2021,,not_found,71.0,,,not_found,40.0,False,False,
Panasonic Corporation,affected,1,2_nippon_steel_2011,panasonic,ground_truth_provided,100.0,1,panasonic,suffix_strip,100.0,True,False,
Peabody Energy Corporation,affected,2,11_aurizon_2010;59_coronado_global_resources_2020,peabody energy,ground_truth_provided,100.0,5,,not_found,44.4,False,False,
Rio Tinto,affected,2,11_aurizon_2010;57_united_co_rusal_international_pjsc_2018,rio tinto,ground_truth_provided,100.0,3,rio tinto,exact,100.0,True,False,
SAIC Motor Corporation Limited,affected,1,9_xinxiang_tianli_energy_2021,saic motor,ground_truth_provided,100.0,4,,not_found,63.2,False,False,
SUMCO Corporation,affected,1,21_mitsubishi_materials_2014,sumco,ground_truth_provided,100.0,1,,not_found,60.0,False,False,
"Samsung Electronics Co., Ltd.",affected,1,5_formosa_plastics_2021,samsung electronics,ground_truth_provided,100.0,2,,not_found,50.0,False,False,
Shell (Royal Dutch Shell / Shell Oil),affected,1,4_dow_2017,shell,ground_truth_provided,100.0,2,shell,human_confirmed,100.0,True,False,"Ground truth wrote a compound/parenthetical name covering multiple historical aliases. Suffix-stripping and the fuzzy threshold both correctly failed to guess this (score 38.7) -- confirmed directly against corpus_companies.txt: the real corpus entry is simply ""shell""."
Slovalco a.s.,affected,1,35_gazprom_pjsc_2022,,not_found,57.1,,,not_found,44.4,False,False,
Sony Corporation,affected,1,2_nippon_steel_2011,sony,ground_truth_provided,100.0,1,sony,suffix_strip,100.0,True,False,
"TTM Technologies, Inc.",affected,1,40_state_grid_corp_of_china_2021,,not_found,82.4,,,not_found,45.0,False,False,
Taiwan Power Company (Taipower),affected,1,19_cpc_corp_taiwan_2014,taiwan power,ground_truth_provided,100.0,2,,not_found,43.1,False,False,
Telkomsel,affected,1,38_perusahaan_perseroan_persero_pt_perusahaan_listrik_negara_2019,,not_found,66.7,,,not_found,57.1,False,False,
"The Dixie Group, Inc.",affected,1,8_exxon_mobil_2005,,not_found,61.5,,,not_found,41.0,False,False,
The Dow Chemical Company,affected,1,17_basf_se_2016,dow,ground_truth_provided,100.0,2,,not_found,57.1,False,False,
Toyota Motor Corporation,affected,1,2_nippon_steel_2011,toyota motor,ground_truth_provided,100.0,1,toyota motor,suffix_strip,100.0,True,False,
Transocean Ltd.,affected,1,24_bp_2010,,not_found,66.7,,,not_found,52.6,False,False,
Tredegar Corporation,affected,1,57_united_co_rusal_international_pjsc_2018,,not_found,57.1,,,not_found,53.3,False,False,
Unimicron Technology Corp.,affected,1,40_state_grid_corp_of_china_2021,unimicron technology,ground_truth_provided,100.0,5,,not_found,44.9,False,False,
Univar Inc. (now Univar Solutions),affected,1,4_dow_2017,,not_found,64.0,,,not_found,47.1,False,False,
Vale S.A.,affected,1,11_aurizon_2010,vale,ground_truth_provided,100.0,3,,not_found,42.9,False,False,
W. R. Grace & Co.,affected,1,5_formosa_plastics_2021,,not_found,50.0,,,not_found,40.0,False,False,
Whitehaven Coal Limited,affected,1,59_coronado_global_resources_2020,,not_found,62.5,,,not_found,46.7,False,False,
XL Axiata,affected,1,38_perusahaan_perseroan_persero_pt_perusahaan_listrik_negara_2019,,not_found,60.0,,,not_found,50.0,False,False,
Xstrata plc,affected,1,11_aurizon_2010,,not_found,72.7,,,not_found,42.9,False,False,
Yara International ASA,affected,1,35_gazprom_pjsc_2022,yara international asa,ground_truth_provided,100.0,3,,not_found,78.0,False,False,
aneka tambang tbk,seed,1,50_aneka_tambang_tbk_2020,aneka tambang tbk,exact,100.0,,aneka tambang tbk,exact,100.0,,False,
aurizon,seed,1,11_aurizon_2010,aurizon,exact,100.0,,aurizon,exact,100.0,,False,
basf se,seed,2,17_basf_se_2016;36_basf_se_2022,basf se,exact,100.0,,basf se,exact,100.0,,False,
bp,seed,1,24_bp_2010,bp,exact,100.0,,bp,exact,100.0,,False,
chevron,seed,1,18_chevron_2012,chevron,exact,100.0,,chevron,exact,100.0,,False,
china steel,seed,1,47_china_steel_2018,china steel,exact,100.0,,china steel,exact,100.0,,False,
coronado global resources,seed,1,59_coronado_global_resources_2020,coronado global resources,exact,100.0,,coronado global resources,exact,100.0,,False,
cpc corp taiwan,seed,1,19_cpc_corp_taiwan_2014,cpc corp/taiwan,human_confirmed,100.0,,,not_found,66.7,,False,"Fuzzy matcher picked ""csbc corp taiwan"" (score 90.3) -- a DIFFERENT real Taiwanese state company (shipbuilding, not oil refining). Manually checked company_nodes.txt directly: the real node is ""cpc corp/taiwan"" (a literal slash, not a space, between ""corp"" and ""taiwan""), which the fuzzy tokenizer scored lower than the wrong candidate because the slash merges ""corp"" and ""taiwan"" into one token instead of two. This is the exact failure mode the phonebook exists to catch."
dow,seed,1,4_dow_2017,dow,exact,100.0,,dow,exact,100.0,,False,
exxon mobil,seed,1,8_exxon_mobil_2005,exxon mobil,exact,100.0,,exxon mobil,exact,100.0,,False,
formosa petrochemical,seed,1,20_formosa_petrochemical_2019,formosa petrochemical,exact,100.0,,formosa petrochemical,exact,100.0,,False,
formosa plastics,seed,1,5_formosa_plastics_2021,formosa plastics,exact,100.0,,formosa plastics,exact,100.0,,False,
gazprom pjsc,seed,1,35_gazprom_pjsc_2022,gazprom pjsc,exact,100.0,,gazprom pjsc,exact,100.0,,False,
glencore,seed,1,48_glencore_2025,glencore,exact,100.0,,glencore,exact,100.0,,False,
hesteel,seed,1,10_hesteel_2023,hesteel,exact,100.0,,hesteel,exact,100.0,,False,
korea electric power,seed,1,34_korea_electric_power_2011,korea electric power,exact,100.0,,korea electric power,exact,100.0,,False,
kyushu electric power,seed,1,33_kyushu_electric_power_2018,kyushu electric power,exact,100.0,,kyushu electric power,exact,100.0,,False,
mitsubishi materials,seed,1,21_mitsubishi_materials_2014,mitsubishi materials,exact,100.0,,mitsubishi materials,exact,100.0,,False,
nippon steel,seed,1,2_nippon_steel_2011,nippon steel,exact,100.0,,nippon steel,exact,100.0,,False,
perusahaan perseroan persero pt perusahaan listrik negara,seed,1,38_perusahaan_perseroan_persero_pt_perusahaan_listrik_negara_2019,perusahaan perseroan persero pt perusahaan listrik negara,exact,100.0,,perusahaan perseroan persero pt perusahaan listrik negara,exact,100.0,,False,
petrochina,seed,1,25_petrochina_2005,petrochina,exact,100.0,,petrochina,exact,100.0,,False,
posco,seed,1,1_posco_2022,posco,exact,100.0,,posco,exact,100.0,,False,
s oil,seed,1,23_s_oil_2022,,not_found,80.0,,,not_found,60.0,,False,
state grid corp of china,seed,1,40_state_grid_corp_of_china_2021,state grid corp of china,exact,100.0,,state grid corp of china,exact,100.0,,False,
united co rusal international pjsc,seed,1,57_united_co_rusal_international_pjsc_2018,united co rusal international pjsc,exact,100.0,,united co rusal international pjsc,exact,100.0,,False,
xiamen tungsten,seed,1,49_xiamen_tungsten_2010,xiamen tungsten,exact,100.0,,xiamen tungsten,exact,100.0,,False,
xinxiang tianli energy,seed,1,9_xinxiang_tianli_energy_2021,xinxiang tianli energy,exact,100.0,,xinxiang tianli energy,exact,100.0,,False,
yunnan aluminium,seed,1,41_yunnan_aluminium_2022,yunnan aluminium,exact,100.0,,yunnan aluminium,exact,100.0,,False,
yunnan chihong zinc germanium,seed,1,54_yunnan_chihong_zinc_germanium_2023,,not_found,65.5,,,not_found,65.5,,False,
